,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent
146,1377.55,1391.39,1373.03,1379.85,595169024,2012-11-09,147.625,0.13645833333333332,Positive
147,1379.86,1384.87,1377.19,1380.03,300848512,2012-11-12,42.0,0.2,Positive
148,1380.03,1388.81,1371.39,1374.53,575005888,2012-11-13,218.75,0.07920208579299487,Positive
149,1374.64,1380.13,1352.5,1355.49,688834496,2012-11-14,56.36363636363637,0.01477272727272727,Positive
150,1355.41,1360.62,1348.05,1353.33,631895680,2012-11-15,350.42857142857144,0.04845959595959594,Positive
151,1353.36,1362.03,1343.35,1359.88,866366592,2012-11-16,193.46153846153845,0.15389957264957263,Positive
152,1359.88,1386.89,1359.88,1386.89,589446592,2012-11-19,52.0,0.0,Neutral
153,1386.82,1389.77,1377.04,1387.81,529088608,2012-11-20,175.5,-0.14345238095238094,Negative
154,1387.79,1391.25,1386.39,1391.03,408807200,2012-11-21,67.0,0.4000000000000001,Positive
155,1409.15,1409.15,1397.68,1406.29,532653792,2012-11-26,228.375,0.17337469078540507,Positive
156,1406.29,1409.01,1398.03,1398.94,550774528,2012-11-27,150.71428571428572,0.1457142857142857,Positive
157,1398.77,1410.31,1385.43,1409.93,577114176,2012-11-28,205.0,0.06401234567901236,Positive
158,1409.96,1419.7,1409.04,1415.95,531923104,2012-11-29,230.55555555555554,0.07299382716049381,Positive
159,1415.95,1418.86,1411.63,1416.18,855038976,2012-11-30,371.6666666666667,0.09730302336552335,Positive
160,1407.05,1415.56,1398.23,1409.28,628384384,2012-12-05,145.75,0.4840277777777778,Positive
161,1409.43,1413.95,1405.93,1413.94,523124000,2012-12-06,174.4,-0.11591836734693875,Negative
162,1413.95,1420.34,1410.9,1418.07,487081600,2012-12-07,479.9166666666667,0.041390606447424656,Positive
163,1418.07,1421.64,1415.64,1418.55,488123584,2012-12-10,129.45454545454547,0.0981060606060606,Positive
164,1418.55,1434.27,1418.55,1427.84,590599296,2012-12-11,200.33333333333334,-0.02321428571428567,Negative
165,1427.84,1438.59,1426.76,1428.48,569768192,2012-12-12,525.2,0.10314789593523359,Positive
166,1428.48,1431.36,1416.0,1419.45,522071712,2012-12-13,271.0,-0.15,Negative
167,1419.45,1419.45,1411.88,1413.58,533732512,2012-12-14,321.5,0.011458333333333352,Positive
168,1430.47,1448.0,1430.47,1446.79,655620224,2012-12-18,159.5,0.09046672077922077,Positive
169,1446.79,1447.75,1435.8,1435.81,576889024,2012-12-19,544.7142857142857,0.0690602643058,Positive
170,1435.81,1443.7,1432.82,1443.69,532168288,2012-12-20,243.14285714285714,0.08342879342879339,Positive
171,1443.67,1443.67,1422.58,1430.15,1538061056,2012-12-21,502.8,-0.017000915750915724,Negative
172,1426.66,1429.42,1416.43,1419.83,363632096,2012-12-26,137.0,0.05,Positive
173,1419.83,1422.8,1401.8,1418.1,445660096,2012-12-27,74.8,0.08809523809523809,Positive
174,1418.1,1418.1,1401.58,1402.43,411216000,2012-12-28,133.2,-0.07479166666666667,Negative
175,1402.43,1426.74,1398.11,1426.19,601105600,2012-12-31,150.76923076923077,0.04364385614385612,Positive
176,1459.37,1467.94,1458.99,1466.47,499318208,2013-01-04,65.0,0.0,Neutral
177,1466.47,1466.47,1456.62,1461.89,490281888,2013-01-07,115.0,0.29,Positive
178,1461.89,1461.89,1451.64,1457.15,546030208,2013-01-08,64.0,-0.25,Negative
179,1457.15,1464.73,1457.15,1461.02,507352384,2013-01-09,40.5,0.012499999999999997,Positive
180,1461.02,1472.3,1461.02,1472.12,569101568,2013-01-10,31.0,0.21666666666666667,Positive
181,1470.67,1473.31,1463.76,1472.34,483929792,2013-01-15,851.0,0.0,Neutral
182,1472.33,1473.96,1467.6,1472.63,513146688,2013-01-16,107.70588235294117,0.08239941431117898,Positive
183,1472.63,1485.16,1472.63,1480.94,604124224,2013-01-17,106.91304347826087,0.048990683229813675,Positive
184,1480.95,1485.98,1475.81,1485.98,930380416,2013-01-18,160.25,0.11748157596371879,Positive
185,1485.98,1492.56,1481.16,1492.56,569950400,2013-01-22,243.63636363636363,0.11369838074383529,Positive
186,1492.56,1496.13,1489.9,1494.81,494336384,2013-01-23,262.3,0.11728795491788915,Positive
187,1494.81,1502.27,1489.46,1494.82,554969600,2013-01-24,322.2142857142857,0.09139829416615129,Positive
188,1494.82,1503.26,1494.82,1502.96,570690816,2013-01-25,80.0,0.20372294372294375,Positive
189,1502.96,1503.23,1496.33,1500.18,535161312,2013-01-28,151.5,0.265719696969697,Positive
190,1500.18,1509.35,1498.09,1507.84,607226816,2013-01-29,211.33333333333334,0.018139329805996456,Positive
191,1507.84,1509.94,1500.11,1501.96,569791872,2013-01-30,134.83870967741936,0.037111376079118005,Positive
192,1501.96,1504.19,1496.76,1498.11,740722880,2013-01-31,139.8235294117647,0.11181037100154748,Positive
193,1498.11,1514.41,1498.11,1513.17,598682816,2013-02-01,168.55555555555554,0.20154320987654317,Positive
194,1513.17,1513.17,1495.02,1495.71,584697216,2013-02-04,112.6,-0.09851190476190479,Negative
195,1495.71,1514.96,1495.71,1511.29,587275072,2013-02-05,137.0,0.19603174603174603,Positive
196,1511.29,1512.53,1504.71,1512.12,556294272,2013-02-06,109.0,0.0,Neutral
197,1517.93,1518.31,1513.61,1517.01,400159904,2013-02-11,148.125,0.051822916666666656,Positive
198,1517.01,1522.29,1515.61,1519.43,489501408,2013-02-12,100.8,-0.0676190476190476,Negative
199,1519.43,1524.69,1515.93,1520.33,513566784,2013-02-13,165.66666666666666,-0.1777777777777778,Negative
200,1520.33,1523.14,1514.02,1521.38,533981184,2013-02-14,39.0,0.05,Positive
201,1521.38,1524.24,1514.14,1519.79,811687616,2013-02-15,166.71428571428572,-0.030744047619047577,Negative
202,1519.79,1530.94,1519.79,1530.94,571763072,2013-02-19,109.5,-0.16197916666666667,Negative
